Date,open,high,low,close,volume,SMA,EMA,RSI,GDP,CPI,CPI_inflation_rate,positive,neutral,negative
06-05-2022,156.01,159.44,154.18,157.28,116124647,159.505,160.3224106,41.62905652,25805.791,1.1023524,8.002799821,0.993507981,0.00412059,0.00237145
09-05-2022,154.925,155.83,151.49,152.06,131577921,158.423,158.8201542,34.47996762,25805.791,1.1023524,8.002799821,0.003278109,0.060089249,0.936632693
10-05-2022,155.52,156.74,152.93,154.51,115366736,158.194,158.0364898,37.69825919,25805.791,1.1023524,8.002799821,0.917155653,0.000381917,0.082462479
11-05-2022,153.5,155.45,145.81,146.5,142689825,157.187,155.9389462,33.08998302,25805.791,1.1023524,8.002799821,0.499801145,0.000221666,0.499977241
12-05-2022,142.77,146.2,138.8,142.56,182602041,155.079,153.5064105,33.48221955,25805.791,1.1023524,8.002799821,0.002341317,0.330775059,0.666883577
13-05-2022,144.59,148.105,143.11,147.11,113990852,154.025,152.3434268,37.21420464,25805.791,1.1023524,8.002799821,0.924970299,0.000521047,0.074508664
16-05-2022,145.55,147.5199,144.18,145.54,86643781,152.783,151.1064401,40.15045486,25805.791,1.1023524,8.002799821,0.99993968,5.07E-05,9.62E-06
17-05-2022,148.86,149.77,146.68,149.24,78336254,151.759,150.7670873,43.95513772,25805.791,1.1023524,8.002799821,0.591424286,9.20E-06,0.408566594
18-05-2022,146.85,147.3601,139.9,140.82,109742890,149.239,148.958526,31.59083575,25805.791,1.1023524,8.002799821,4.43E-06,2.35E-05,0.999972105
19-05-2022,139.88,141.66,136.6,137.35,136095640,147.297,146.8478849,32.92970064,25805.791,1.1023524,8.002799821,0.37380763,0.249343134,0.376849228
20-05-2022,139.09,140.7,132.61,137.59,137426125,145.328,145.1646331,32.85064826,25805.791,1.1023524,8.002799821,0.463923077,0.500288056,0.035788862
23-05-2022,137.79,143.26,137.65,143.11,117726265,144.433,144.7910635,37.08786875,25805.791,1.1023524,8.002799821,0.01096335,0.989016652,2.00E-05
24-05-2022,140.805,141.97,137.33,140.36,104132746,143.018,143.9854156,28.47315436,25805.791,1.1023524,8.002799821,0.501064889,0.498424901,0.00051021
25-05-2022,138.43,141.785,138.34,140.52,92482696,142.42,143.35534,33.91407642,25805.791,1.1023524,8.002799821,0.498582977,1.51E-05,0.501401937
26-05-2022,137.39,144.34,137.14,143.78,90601548,142.542,143.4325509,37.3263237,25805.791,1.1023524,8.002799821,0.498659623,6.25E-06,0.50133412
27-05-2022,145.39,149.68,145.26,149.64,90978503,142.795,144.561178,47.75510204,25805.791,1.1023524,8.002799821,0.999813139,0.00010113,8.58E-05
